layer,original,predicted
0,__do_global_dtors_aux,initialize_flag_if_needed_08000110
0,frame_dummy,concatenate_values_08000134
0,strlen,find_string_length_08000150
0,__subdf3,calculate_product_08000168
0,__aeabi_dadd,calculate_multiplication_division_0800016c
0,__aeabi_i2d,calculate_shifted_value_08000404
0,__aeabi_f2d,reverse_binary_operation_08000428
0,FUN_080006ac,calculate_bitwise_080006ac
0,FUN_08000892,convert_to_double_08000892
0,__nedf2,check_parameters_08000904
0,__unorddf2,is_valid_data_08000a04
0,__truncdfsf2,calculate_float_08000a30
0,__aeabi_fsub,calculate_floating_point_difference_08000ad8
0,__addsf3,calculate_float_08000adc
0,__floatunsisf,calculate_08000c3c
0,__floatsisf,convert_complement_to_unsigned_08000c44
0,__aeabi_fmul,calculate_floating_point_08000cec
0,__aeabi_fdiv,calculate_floating_point_08000e54
0,__cmpsf2,calculate_unsigned_sum_08000f9c
0,__aeabi_f2iz,extract_significant_bits_08001078
0,__fixunssfsi,calculate_value_080010c4
0,HAL_IncTick,increment_counter_0800114c
0,HAL_GetTick,get_data_0800115c
0,HAL_NVIC_SetPriorityGrouping,configure_register_08001170
0,HAL_NVIC_SetPriority,update_memory_08001194
0,HAL_NVIC_EnableIRQ,set_bit_in_memory_080011fc
0,HAL_SYSTICK_Config,check_param_bounds_08001214
0,HAL_SYSTICK_CLKSourceConfig,set_flag_08001240
0,HAL_GPIO_Init,update_data_08001264
0,HAL_GPIO_WritePin,set_param_value_08001424
0,HAL_GPIO_TogglePin,xor_and_update_value_0800142e
0,I2C_IsAcknowledgeFailed,check_and_modify_flag_08001436
0,HAL_RCC_GetSysClockFreq,calculate_refresh_rate_08002008
0,HAL_RCC_GetHCLKFreq,get_data_value_08002214
0,HAL_RCC_GetPCLK1Freq,get_shifted_value_08002220
0,HAL_RCC_GetPCLK2Freq,extracted_data_shift_08002250
0,TIM_OC1_SetConfig,update_flags_and_values_08002280
0,TIM_OC3_SetConfig,update_parameter_and_variable_080022d0
0,TIM_OC4_SetConfig,update_param_values_08002324
0,TIM_Base_SetConfig,update_memory_08002368
0,TIM_OC2_SetConfig,update_params_08002404
0,TIM_CCxChannelCmd,update_bitwise_value_08002520
0,HAL_TIMEx_ConfigBreakDeadTime,set_flag_and_calculate_checksum_08002564
0,HAL_TIMEx_MasterConfigSynchronization,update_permissions_080025a4
0,AHRS_GetRoll,calculate_and_store_08002ed4
0,MS5611_GetFilteredAltitude,get_dat_value_08003068
0,MadgwickSetBeta,initialize_data_08003314
0,MadgwickSetDelta,initialize_data_08003320
0,startForkserver,convert_to64bit_08003eb0
0,CB_Write,increment_and_store_08003ec8
0,Motor1_SetPWM,store_parameter_in_memory_08003fc4
0,Motor2_SetPWM,update_memory_address_08003fd0
0,Motor3_SetPWM,set_global_variable_08003fdc
0,Motor4_SetPWM,set_parameter_value_08003fe8
0,serialFlush,initialize_data_08004c64
0,HAL_TIM_PWM_MspInit,update_settings_08004d8c
0,SystemInit,initialize_registers_08004f10
0,micros,get_data_value_thunk_0800115c
0,__libc_init_array,execute_all_functions_08004fb4
0,_printf_common,compute_data_size_080052e4
0,memchr,find_first_occurrence_08005614
0,memcpy,copy_array_08005630
0,memmove,copy_memory_08005646
0,_free_r,update_pointer_0800567c
0,_malloc_usable_size_r,calculate_value_08005840
0,finite,set_msb_to1_and_divide_by32_08007092
0,matherr,initialize_program_0800709e
0,nan,get_infinite_value_080070a4
0,__errno,get_data_pointer_080072ac
0,_sbrk,update_data_and_return_080072b8
1,__muldf3,perform_calculation_080004d0
1,__divdf3,calculate_double_from_float_08000724
1,__aeabi_cdcmpeq,validate_and_return_08000990
1,__aeabi_cfcmpeq,concatenate_parameters_08001004
1,HAL_InitTick,initialize_memory_08001104
1,I2C_WaitOnMasterAddressFlagUntilTimeout,check_data_validity_08001460
1,I2C_WaitOnTXEFlagUntilTimeout,check_and_modify_flag_080014e2
1,I2C_WaitOnRXNEFlagUntilTimeout,check_data_080016f4
1,HAL_RCC_OscConfig,check_conditions_08001b58
1,HAL_TIM_PWM_Init,initialize_settings_080023d0
1,HAL_TIM_PWM_ConfigChannel,update_param_flags_0800245c
1,HAL_TIM_PWM_Start,update_bitwise_value_and_set_flag_08002538
1,UART_SetConfig,update_values_080025e8
1,AHRS_GetPitch,calculate_floating_point_difference_08002ec0
1,toggleLED,set_param_values_08003f3c
1,Motor_StopAll,initialize_memory_080041c4
1,Motor_DistributeSpeed,calculate_and_update_values_0800426c
1,PID_UpdateAltitude,update_data_values_08004a30
1,serialWrite,process_binary_data_08004c18
1,HAL_UART_RxCpltCallback,check_and_increment_08004c30
1,serialBegin,initialize_and_check_status_08004c70
1,HAL_MspInit,initialize_system_08004ccc
1,HAL_I2C_MspInit,update_data_if_required_08004d48
1,HAL_TIM_MspPostInit,update_data_08004e14
1,HAL_UART_MspInit,update_memory_flags_08004e7c
1,_printf_i,convert_value_080053d4
1,_sbrk_r,update_data_and_check_0800581c
1,rint,FUNC_080070b0
2,__aeabi_cdrcmple,validate_and_return_08000980
2,__aeabi_dcmpeq,check_if_input_is_valid_080009a0
2,__aeabi_dcmplt,check_null_termination_080009b4
2,__aeabi_dcmple,check_and_return_validity_080009c8
2,__aeabi_cfrcmple,concatenate_parameters_08000ffc
2,__aeabi_fcmpeq,check_concatenation_success_08001014
2,__aeabi_fcmplt,is_string_empty_08001028
2,HAL_Init,initialize_system_08001128
2,I2C_RequestMemoryWrite,update_data_flags_08001530
2,I2C_RequestMemoryRead,validate_and_modify_flag_080015e8
2,HAL_I2C_Init,update_data_08001754
2,HAL_RCC_ClockConfig,check_refresh_rate_0800209c
2,HAL_UART_Init,initialize_memory_flags_08002724
2,UART_Receive_IT,process_data_0800290c
2,PWM_Init,initialize_flags_08003ff4
2,serialPrint,process_binary_data_08004c8c
2,_malloc_r,allocate_and_initialize_memory_08005714
2,__ieee754_sqrt,calculate_float_08006c0c
2,scalbn,calculate_final_result_080071c0
3,__aeabi_dcmpgt,is_c_string_empty_080009f0
3,__aeabi_fcmpge,check_concatenated_parameters_08001050
3,__aeabi_fcmpgt,check_if_concatenation_is_empty_08001064
3,HAL_I2C_Mem_Write,FUNC_08001828
3,HAL_I2C_Mem_Read,validate_flags_08001938
3,HAL_UART_IRQHandler,process_and_check_data_0800299a
3,MSP_SendFrame,process_binary_data_08004300
3,_realloc_r,allocate_and_copy_array_080057d0
3,sqrt,validate_and_initialize_program_08005bc8
4,AHRS_GetYaw,process_data_08002ee8
4,MSP_SendIdent,initialize_binary_data_processing_08004348
4,MSP_SendStatus,initialize_data_08004384
4,MSP_SendRawIMU,copy_and_process_binary_data_080043bc
4,MSP_SendMotor,process_and_send_data_080043f0
4,MSP_SendAttitude,process_binary_data_08004410
4,MSP_SendAltitude,process_data_08004434
4,MSP_SendPID,copy_and_process_data_08004458
4,PID_Compute,calculate_values_0800483c
4,__ssputs_r,copy_and_update_data_08005044
4,__ieee754_asin,calculate_double_from_float_08005c70
4,__ieee754_pow,calculate_double_08006228
4,atan,calculate_value_08006d68
5,PID_Update,process_data_08004a84
5,_svfiprintf_r,parse_and_update_data_080050fc
5,asin,validate_data_and_return_value_08005854
5,atan2,calculate_final_value_thunk_08006070
5,pow,perform_calculation_08005900
5,__ieee754_atan2,calculate_result_08006070
6,MadgwickQuaternionUpdate,calculate_and_store_results_08003330
6,siprintf,initialize_data_08004ffc
7,serialInt,initialize_and_process_data_08004cac
8,_Error_Handler,process_data_continuously_08004490
9,I2C_WriteByte,process_data_0800403c
9,I2C_ReadByte,check_and_process_data_0800407c
9,I2C_ReadBytes,process_data_if_flags_valid_080040b8
9,SystemClock_Config,process_data_08004514
10,MPU9250_Init,initialize_mpu9250_08002ad0
10,MS5611_ReadADC,convert_data_to_uint_08003034
10,I2C_ReadByteArray,process_i2c_data_080040e8
10,Peripherals_Init,initialize_and_process_data_0800458c
11,MPU9250_ReadAccelData,initialize_mpu9250_08002b48
11,MPU9250_ReadGyroData,initialize_mpu9250_08002bf0
11,AK8963_Init,process_sensor_data_08002cb0
11,AK8963_ReadData,process_mpu9250_data_08002d88
11,MS5611_Init,initialize_sensor_data_08003298
11,Devices_Init,initialize_and_process_data_08004028
12,IMU_Init,initialize_sensors_08002ea0
12,AHRS_ComputeAngles,initialize_and_process_data_08002f28
13,taskScheduler,process_data_0800411c
13,setup,initialize_system_08004194
14,main,continuous_processing_080041ae
